word,candidate_edges
coffee,257
flag,256
guard,256
clean,256
garden,256
verb,256
pocket,255
speak,255
share,253
live,253
drum,252
living,251
wild,251
second,251
true,251
clothes,251
exchange,251
suit,250
camera,250
evidence,250
platform,250
strong,249
cap,249
electric,249
turkey,248
trousers,248
talk,248
soup,247
write,247
well,247
automatic,246
adult,245
attractive,245
task,245
video,245
page,245
college,245
heavy,245
hard,244
error,244
frog,244
date,244
bowl,244
raise,244
dinosaur,243
nest,242
garage,242
trouble,242
ghost,241
pool,241
question,241
regular,240
clock,240
football,240
surprise,240
difficult,239
temple,239
artist,239
fit,239
festival,238
hot,238
romantic,237
copy,237
stay,237
feed,236
jump,236
spot,236
hotel,236
direct,236
step,236
do,235
flight,235
birth,235
great,235
can,235
magazine,234
wrong,233
express,233
future,233
result,232
cry,231
not,231
repair,231
pan,231
secret,231
violent,230
load,230
bus,230
four,229
gift,229
join,228
stand,228
professional,228
furniture,227
way,227
cool,227
brown,227
sell,226
monkey,226
bug,226
dessert,225
musical,225
focus,224
addition,223
middle,223
down,223
plan,222
fur,222
important,222
beef,221
dangerous,221
father,221
lip,220
quarter,220
opposite,220
rabbit,220
bright,220
intelligence,220
steal,219
toe,219
soap,219
keyboard,219
wife,219
desert,219
gate,219
fair,218
pen,218
poem,218
audience,218
perform,218
half,218
airport,218
staff,217
local,217
butterfly,217
together,216
biscuit,216
very,216
real,215
mail,215
tea,214
ray,214
reason,214
queen,213
basket,213
cooking,213
full,213
jack,213
fact,213
serve,212
pull,212
railway,211
conversation,211
unpleasant,211
delay,211
carry,211
simple,211
citizen,211
castle,210
creature,210
start,210
sink,210
tip,210
captain,210
gender,210
fishing,210
pay,210
refrigerator,210
foreign,210
night,209
cycle,209
consequence,208
old,208
contact,208
grey,208
lie,207
other,207
magic,207
passenger,207
similar,207
lack,206
being,206
hill,206
escape,206
rose,206
scientist,205
illegal,205
fix,205
sample,205
see,205
vote,205
shoulder,204
orange,204
traffic,204
noun,203
item,203
dust,203
author,203
goat,203
look,203
hide,203
row,202
zero,202
dollar,202
boy,202
month,202
fail,202
beach,202
shelf,202
diamond,201
coast,201
news,201
rocket,201
coach,201
reading,200
slow,200
spider,200
over,199
customer,199
split,199
mushroom,199
generation,199
button,199
wet,199
cream,199
research,198
speaker,198
outside,198
truth,198
ride,198
wooden,197
athlete,197
create,196
rhythm,196
corner,196
chest,196
context,196
sum,196
wear,196
private,196
video game,196
crowd,195
success,195
grow,195
effort,195
fill,195
accident,194
quiet,194
jellyfish,194
brush,194
bottom,194
shirt,194
shock,194
straight,194
smell,193
sandwich,193
new,192
different,192
sale,192
advantage,191
give,191
count,191
association,190
represent,190
poor,190
trap,189
winter,189
cupboard,189
chocolate,188
extremely,188
happy,188
honey,188
butter,188
will,188
difference,188
out,187
parrot,187
uniform,187
lamp,187
tie,186
float,186
shade,186
custom,185
holiday,185
fashion,184
opera,184
role,184
contest,184
wedding,184
article,183
fever,183
scene,183
trust,183
accept,183
read,183
screw,182
kind,182
five,182
loud,182
understand,182
have,182
cave,182
driver,182
couple,182
tap,182
communicate,181
angry,181
crazy,181
repeat,181
partner,181
