word,edges
tablespoon,11
thanks,11
their,11
them,11
truck,11
twenty,11
unlike,11
wow,11
yoghurt,11
ambulance,12
ancestor,12
barber,12
borrow,12
bus station,12
carefully,12
composer,12
convenient,12
curse,12
daddy,12
daisy,12
disagree,12
disappointed,12
earthquake,12
email,12
embarrassing,12
frank,12
furry,12
glove,12
go away,12
grandparent,12
granny,12
grateful,12
heating,12
helpful,12
hi,12
invent,12
latest,12
look at,12
mainly,12
monster,12
my,12
mysterious,12
nationality,12
never,12
noisy,12
onion,12
pepper,12
photo,12
pirate,12
portrait,12
recycle,12
regularly,12
roughly,12
sausage,12
sew,12
singer,12
smoking,12
thank,12
there,12
thunderstorm,12
timetable,12
tom,12
toothbrush,12
towel,12
unfriendly,12
wheelchair,12
windy,12
yes,12
ahead,13
asleep,13
badminton,13
balcony,13
bookshop,13
café,13
carrot,13
cheque,13
climbing,13
depend,13
disadvantage,13
drugstore,13
elbow,13
extinct,13
february,13
fetch,13
fisherman,13
get off,13
greatly,13
greet,13
haircut,13
handsome,13
headache,13
hike,13
ice cream,13
inner,13
later,13
lazy,13
lime,13
loudly,13
medal,13
nurse,13
online,13
painter,13
pasta,13
pea,13
photography,13
pity,13
rating,13
sailor,13
scary,13
seafood,13
sorry,13
sunday,13
swimming pool,13
thief,13
truly,13
twelfth,13
used,13
waitress,13
whisper,13
who,13
worried,13
ambition,14
anywhere,14
apparently,14
august,14
badly,14
banana,14
championship,14
cheek,14
cousin,14
cute,14
delicious,14
department store,14
diary,14
dishonest,14
dislike,14
downtown,14
easily,14
editor,14
elementary,14
excited,14
forget,14
id,14
junior,14
lucky,14
midnight,14
naughty,14
parrot,14
pilgrim,14
playground,14
pleased,14
police officer,14
pollute,14
princess,14
sledge,14
soon,14
supper,14
surprising,14
tick,14
today,14
tomato,14
tradition,14
traffic light,14
unhealthy,14
unkind,14
volleyball,14
website,14
why,14
youth,14
additional,15
afternoon,15
along,15
bandage,15
ben,15
boyfriend,15
busy,15
chirp,15
clearly,15
clue,15
coke,15
convenience,15
dancer,15
diet,15
discuss,15
donkey,15
each,15
either,15
energetic,15
episode,15
fifth,15
fighter,15
forbid,15
foreigner,15
fourth,15
golden,15
him,15
honey,15
interesting,15
journalist,15
lend,15
milkshake,15
mushroom,15
mystery,15
nine,15
pacific,15
palace,15
plenty,15
pollution,15
poster,15
purple,15
senior,15
shy,15
simply,15
slim,15
slowly,15
suddenly,15
surf,15
swan,15
symphony,15
take off,15
taxi,15
uncomfortable,15
we,15
worse,15
would,15
actually,16
annoying,16
audio,16
beetle,16
belly,16
both,16
budget,16
bulb,16
certainly,16
chef,16
clap,16
clever,16
coconut,16
committee,16
confused,16
daily,16
dolphin,16
elephant,16
eleven,16
exciting,16
fiction,16
fully,16
go out,16
grandmother,16
grocery store,16
handbag,16
her,16
huge,16
hurry,16
independence,16
killer,16
kit,16
lawyer,16
lifestyle,16
next,16
noon,16
once,16
physically,16
pray,16
progressive,16
puppy,16
pursue,16
replace,16
salad,16
scientific,16
secretary,16
seven,16
she,16
sure,16
tape,16
textbook,16
uneasy,16
video game,16
when,16
which,16
afraid,17
alone,17
